,id,label
0,99,0
1,56353,0
2,25496,0
3,2639,1
4,2208,1
5,20155,0
6,34586,0
7,46381,0
8,57213,0
9,21454,0
10,32885,0
11,43128,1
12,29984,0
13,80160,1
14,14314,0
15,86256,1
16,74893,1
17,17192,0
18,22794,0
19,9056,1
20,61997,0
21,37663,0
22,49999,0
23,60395,1
24,46925,0
25,56458,1
26,4324,0
27,46698,1
28,64895,0
29,23513,0
30,70698,1
31,38987,0
32,7047,0
33,13853,1
34,4931,0
35,4546,0
36,73966,1
37,63951,1
38,74491,0
39,12230,0
40,24758,0
41,5801,0
42,19919,0
43,62387,0
44,58766,1
45,94299,1
46,79528,0
47,66236,0
48,33295,0
49,34962,1
50,19840,0
51,62450,0
52,56820,1
53,21046,0
54,80131,1
55,84235,1
56,6704,0
57,41363,0
58,40059,0
59,40683,1
60,81730,0
61,79239,0
62,42649,0
63,50374,1
64,7721,1
65,28325,1
66,47931,1
67,21087,1
68,5734,0
69,16310,1
70,91162,0
71,27625,0
72,39193,0
73,26341,0
74,70700,1
75,64493,0
76,59901,0
77,3430,0
78,44218,1
79,26576,1
80,17575,1
81,34366,0
82,1798,1
83,75647,1
84,54940,0
85,29799,0
86,22293,1
87,21881,0
88,30363,0
89,94820,1
90,68395,0
91,97757,1
92,31127,1
93,30669,0
94,94804,1
95,81023,0
96,71501,1
97,45077,0
98,56839,0
99,32988,1
100,380,0
101,29527,1
102,54554,0
103,47647,0
104,73828,1
105,24717,0
106,5931,0
107,53573,1
108,18525,0
109,55241,0
110,43105,0
111,15884,0
112,28970,0
113,2378,0
114,36672,1
115,11752,0
116,12941,0
117,37211,0
118,17194,1
119,37171,0
120,56430,0
121,84601,1
122,14627,0
123,9897,0
124,56411,0
125,37068,0
126,21455,0
127,49101,1
128,33150,1
129,21918,0
130,20704,0
131,23857,1
132,45548,0
133,20857,0
134,33575,0
135,5435,0
136,98665,0
137,17348,0
138,76576,1
139,58383,1
140,22463,0
141,38622,0
142,47310,0
143,7537,1
144,20898,0
145,42296,0
146,47474,0
147,33614,1
148,95576,0
149,59486,1
150,76465,0
151,50359,0
152,16842,0
153,90282,1
154,78988,1
155,44930,1
156,43440,1
157,58476,0
158,87619,1
159,52618,1
160,24923,1
161,26193,1
162,64864,1
163,4072,0
164,33561,0
165,93854,0
166,29330,0
167,93867,1
168,22694,0
169,47294,0
170,26497,0
171,39274,0
172,59439,1
173,14084,0
174,2906,0
175,79118,0
176,56915,0
177,69496,0
178,25963,0
179,68314,0
180,24005,0
181,29252,0
182,11545,0
183,26844,0
184,30765,0
185,11230,0
186,54440,0
187,65790,0
188,44335,0
189,6128,0
190,45788,0
191,70737,1
192,37336,0
193,6518,0
194,22059,0
195,42803,0
196,23746,0
197,8763,0
198,99522,0
199,799,0
200,22595,0
201,43374,0
202,29635,0
203,21488,0
204,58007,0
205,23125,0
206,95032,1
207,46906,0
208,58627,0
209,53073,0
210,48923,0
211,1399,0
212,36320,1
213,5165,0
214,1934,0
215,78336,1
216,96573,0
217,28465,0
218,97589,0
219,17022,0
220,21518,1
221,14960,1
222,32308,0
223,67212,1
224,85197,0
225,54427,0
226,46400,0
227,12015,0
228,77709,0
229,41628,1
230,35909,0
231,97642,0
232,58354,0
233,52241,0
234,39175,0
235,52561,1
236,98791,0
237,34594,0
238,55545,0
239,2622,1
240,33712,1
241,11792,1
242,22090,1
243,8870,0
244,12946,0
245,36975,1
246,34200,0
247,59364,0
248,30237,0
249,24043,0
250,48535,0
251,53289,1
252,76472,0
253,89886,0
254,6785,0
255,45497,1
256,48331,0
257,6350,0
258,92604,0
259,7707,1
260,72215,1
261,17321,0
262,58244,0
263,43715,0
264,53517,1
265,43165,1
266,43137,1
267,82513,0
268,6397,0
269,20112,0
270,54725,1
271,22897,0
272,44975,0
273,61457,1
274,32106,1
275,22504,0
276,70791,0
277,77099,0
278,45566,0
279,98467,0
280,42783,0
281,83214,0
282,28825,0
283,19909,0
284,1144,0
285,75699,1
286,13381,0
287,54096,0
288,25629,1
289,92986,1
290,16133,1
291,13508,0
292,4349,0
293,48739,0
294,96484,1
295,9360,0
296,5263,0
297,2707,0
298,88550,1
299,62029,0
300,76986,0
301,4127,0
302,25628,0
303,14810,0
304,47832,0
305,6234,0
306,90766,1
307,19571,0
308,94485,1
309,82432,0
310,30637,0
311,22600,0
312,23339,0
313,38695,1
314,53199,1
315,27897,0
316,59284,0
317,19691,0
318,28785,1
319,6137,1
320,12835,1
321,18446,0
322,96162,1
323,28030,0
324,32899,1
325,6189,1
326,55404,1
327,4032,0
328,35107,0
329,21324,1
330,17688,0
331,37426,0
332,22071,0
333,10154,0
334,52212,0
335,585,0
336,94036,1
337,27154,0
338,1002,0
339,14256,0
340,18608,0
341,53879,1
342,26874,0
343,35604,0
344,192,1
345,24282,0
346,49752,0
347,41535,1
348,1438,0
349,74467,0
350,4723,0
351,85043,1
352,2674,0
353,36123,0
354,70134,1
355,43560,0
356,43410,1
357,64317,1
358,95453,1
359,97840,1
360,77803,1
361,27284,0
362,35673,0
363,31616,0
364,16087,0
365,29780,1
366,30731,0
367,88593,0
368,27163,0
369,41788,0
370,88202,0
371,33144,0
372,32874,0
373,21714,0
374,5364,0
375,17008,0
376,25487,0
377,51205,1
378,11755,0
379,75890,0
380,77078,0
381,34485,0
382,14736,0
383,60644,0
384,9651,0
385,1393,1
386,58055,1
387,29698,0
388,13024,0
389,10262,0
390,2239,0
391,56531,0
392,17948,1
393,14169,0
394,41400,0
395,12203,1
396,60860,0
397,56753,1
